description,mcc,category_name,description,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3365,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3366,Budget Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3367,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3368,Holiday Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3369,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3370,Rent-A- Wreck,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3371,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3372,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3373,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3374,Accent Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3375,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3376,Ajax Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3377,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3378,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3379,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3380,Triangle Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3381,Europ Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3382,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3383,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3384,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3385,Tropical Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
