UYEISYERI_ID_MASK,mcc,district_id,degree,betweenness,closeness,eigenvector,mcc_diversity,geo_diversity
27714799,5691,115,901,8.44E-05,0.557771487,0.016201679,2.343631943,2.909123936
27714800,5691,50,634,2.69E-05,0.539246175,0.011461375,2.38875653,2.500247534
27723228,5541,82,1630,0.000567548,0.615592161,0.024887462,2.337786823,3.332157236
27723424,5541,9,2326,0.001366647,0.68321513,0.03431577,2.376713329,3.295369946
27723632,8062,50,1009,0.000108371,0.565705337,0.01677254,2.447087382,2.713287652
27723789,5541,50,894,0.000110542,0.557412884,0.015208002,2.393925576,2.975161382
27724640,5691,100,853,0.000103204,0.554418724,0.013786765,2.348384561,3.035166253
27724642,5691,63,574,4.01E-05,0.535251266,0.009377488,2.407127173,2.585664987
27725089,8062,50,1063,0.000142875,0.569720068,0.016968791,2.469138283,2.606237158
27726136,5541,34,1618,0.000534799,0.614544939,0.025019884,2.341268797,3.333324916
27726204,5941,50,703,4.99E-05,0.543982934,0.012069616,2.406269477,2.491878084
27726471,5691,160,776,6.14E-05,0.549012158,0.01273105,2.424081335,2.594911937
27727299,5541,34,2639,0.002036519,0.718547986,0.03687366,2.358943123,3.388510224
27727923,5541,96,463,2.91E-05,0.528143275,0.007428231,2.262886406,2.663395217
27727976,5691,50,1387,0.000286647,0.595140033,0.022525577,2.463522003,2.879406516
27727980,5691,61,840,6.60E-05,0.553569148,0.014438288,2.429831486,2.609747311
27728035,5541,87,2423,0.001788507,0.693822023,0.034258889,2.317845104,3.407913598
27729240,7538,4,875,8.10E-05,0.556054387,0.014993333,2.447040389,2.846198852
27729446,5944,123,603,5.10E-05,0.537241294,0.010673907,2.38697124,2.810746638
27729881,5691,50,887,7.36E-05,0.556840077,0.015323227,2.361921596,2.656750867
27730675,5942,4,1049,0.000120376,0.56874836,0.016937906,2.431328376,2.641718951
27731574,5541,82,1457,0.000394346,0.600831601,0.022960132,2.355531035,3.305222645
27731684,5541,60,645,4.62E-05,0.540052323,0.011488608,2.269697229,3.22830105
27731829,5541,12,1619,0.000550132,0.614632071,0.025349282,2.336777718,3.315584512
27732213,5912,33,1036,0.000160286,0.567705605,0.017844467,2.427448423,3.03810389
27732282,5732,61,946,0.000124236,0.561092415,0.016098694,2.491451915,2.825073502
27732292,5732,115,726,6.62E-05,0.545557513,0.013077176,2.382766671,2.804233251
27732519,5541,60,743,0.000101812,0.54665826,0.011848175,2.349646558,3.202493975
27732524,5541,60,1332,0.000358072,0.590599455,0.020803171,2.254822317,3.384799705
27732530,5541,60,1390,0.000397599,0.595303488,0.020905746,2.377079111,3.280322087
27732531,5541,42,1624,0.000613812,0.615155385,0.024112458,2.350371539,3.324445779
27732598,5499,60,120,1.09E-06,0.506780454,0.002088721,2.104295514,2.468614433
